club,name,age,position,club_involved,fee,transfer_movement,fee_cleaned,league,year
FC Paços de Ferreira,Gualberto MojicaG. Mojica,22,Attacking Midfield,CFR Cluj,"End of loanJun 30, 2007",out,0,primeira-liga,2007
FC Paços de Ferreira,FahelFahel,25,Defensive Midfield,Marítimo,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Leixões SC,Paulo MachadoP. Machado,21,Central Midfield,FC Porto,Loan,in,0,primeira-liga,2007
Leixões SC,JaimeJaime,28,Attacking Midfield,Racing Ferrol,Free Transfer,in,0,primeira-liga,2007
Leixões SC,LivramentoLivramento,25,Attacking Midfield,Boavista,Free Transfer,in,0,primeira-liga,2007
Leixões SC,Diogo ValenteD. Valente,22,Left Winger,FC Porto,Loan,in,0,primeira-liga,2007
Leixões SC,Filipe OliveiraF. Oliveira,23,Right Winger,Marítimo,Free Transfer,in,0,primeira-liga,2007
Leixões SC,Jorge BaptistaJ. Baptista,30,Goalkeeper,Gil Vicente,Free Transfer,in,0,primeira-liga,2007
Leixões SC,VieirinhaVieirinha,21,Left-Back,FC Porto,Loan,in,0,primeira-liga,2007
Leixões SC,EzequiasEzequias,26,Left-Back,FC Porto,Loan,in,0,primeira-liga,2007
Leixões SC,Nuno DiogoNuno Diogo,26,Centre-Back,Penafiel,?,in,NA,primeira-liga,2007
Leixões SC,Tales SchützT. Schütz,25,Centre-Forward,União Esporte Clube (MT),Loan,in,0,primeira-liga,2007
Leixões SC,CastanheiraCastanheira,30,Central Midfield,Braga,Loan,in,0,primeira-liga,2007
Leixões SC,MarquesMarques,22,Centre-Forward,Anápolis-GO,Loan,in,0,primeira-liga,2007
Leixões SC,Paulo ViníciusPaulo Vinícius,22,Centre-Back,Santa Clara,?,in,NA,primeira-liga,2007
Leixões SC,Udo NwokoUdo Nwoko,22,Attacking Midfield,Hibernians FC,?,in,NA,primeira-liga,2007
Leixões SC,João MoreiraJ. Moreira,21,Centre-Forward,Valencia CF,Loan,in,0,primeira-liga,2007
Leixões SC,Ruben SaldanhaR. Saldanha,19,Right Midfield,Leixões U19,-,in,0,primeira-liga,2007
Leixões SC,Paulo TavaresP. Tavares,22,Attacking Midfield,GD Ribeirão,"End of loanDec 31, 2007",in,0,primeira-liga,2007
Leixões SC,Nuno SilvaNuno Silva,20,Right Winger,FC Pedras Rubras,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Leixões SC,CadinhaCadinha,23,Attacking Midfield,GD Ribeirão,Loan,out,0,primeira-liga,2007
Leixões SC,MalafaiaMalafaia,25,Defensive Midfield,Varzim,Free Transfer,out,0,primeira-liga,2007
Leixões SC,LivramentoLivramento,25,Attacking Midfield,Rio Ave FC,Free Transfer,out,0,primeira-liga,2007
Leixões SC,Ruben SaldanhaR. Saldanha,19,Right Midfield,Padroense,Loan,out,0,primeira-liga,2007
Leixões SC,Pedro MoitaP. Moita,27,Left Midfield,GD Ribeirão,Free Transfer,out,0,primeira-liga,2007
Leixões SC,CíceroCícero,30,Centre-Forward,Fátima,Free Transfer,out,0,primeira-liga,2007
Leixões SC,Paulo TavaresP. Tavares,21,Attacking Midfield,GD Ribeirão,Loan,out,0,primeira-liga,2007
Leixões SC,Paulo TavaresP. Tavares,22,Attacking Midfield,Estoril,Loan,out,0,primeira-liga,2007
Leixões SC,Leandro TatuL. Tatu,25,Second Striker,Desportivo Aves,?,out,NA,primeira-liga,2007
Leixões SC,FonsecaFonseca,22,Goalkeeper,Moreirense,Loan,out,0,primeira-liga,2007
Leixões SC,Paulo ViníciusPaulo Vinícius,23,Centre-Back,Olhanense,Loan,out,0,primeira-liga,2007
Leixões SC,Marco CadeteM. Cadete,29,Right-Back,Gondomar,Loan,out,0,primeira-liga,2007
Leixões SC,Nuno SilvaNuno Silva,21,Right Winger,Espinho,Loan,out,0,primeira-liga,2007
Leixões SC,CleuberCleuber,30,Centre-Back,Vizela,?,out,NA,primeira-liga,2007
Leixões SC,AlexandreAlexandre,33,Right-Back,União Madeira,?,out,NA,primeira-liga,2007
Leixões SC,João PedroJoão Pedro,32,Centre-Forward,Retired,-,out,0,primeira-liga,2007
Leixões SC,Tales SchützT. Schütz,26,Centre-Forward,União Esporte Clube (MT),"End of loanDec 31, 2007",out,0,primeira-liga,2007
Leixões SC,XavierXavier,23,Left-Back,Without Club,-,out,0,primeira-liga,2007
Leixões SC,NandinhoNandinho,34,Right Winger,Retired,-,out,0,primeira-liga,2007
Leixões SC,LeãoLeão,36,Defensive Midfield,Retired,-,out,0,primeira-liga,2007
Leixões SC,JaimeJaime,28,Attacking Midfield,Without Club,-,out,0,primeira-liga,2007
Leixões SC,Filipe GonçalvesF. Gonçalves,22,Defensive Midfield,Braga,"End of loanJun 30, 2007",out,0,primeira-liga,2007
União de Leiria,João PauloJoão Paulo,27,Centre-Forward,Paços Ferreira,Free transfer,in,NA,primeira-liga,2007
União de Leiria,Filipe MachadoF. Machado,23,Centre-Back,Pontevedra,Free Transfer,in,0,primeira-liga,2007
União de Leiria,TiagoTiago,32,Defensive Midfield,Boavista,Free Transfer,in,0,primeira-liga,2007
União de Leiria,DaniDani,23,Central Midfield,Odivelas,Free Transfer,in,0,primeira-liga,2007
União de Leiria,ToñitoToñito,30,Right Midfield,HNK Rijeka,Free Transfer,in,0,primeira-liga,2007
União de Leiria,MacielMaciel,28,Right Winger,FC Porto,Free Transfer,in,0,primeira-liga,2007
União de Leiria,Arvid SmitA. Smit,27,Central Midfield,Marítimo,Loan,in,0,primeira-liga,2007
União de Leiria,Bruno MiguelB. Miguel,24,Centre-Back,Varzim,?,in,NA,primeira-liga,2007
União de Leiria,Antoni LukasiewiczA. Lukasiewicz,24,Defensive Midfield,Elche CF,Loan,in,0,primeira-liga,2007
União de Leiria,Éder GaúchoÉder Gaúcho,29,Centre-Back,Sertãozinho,?,in,NA,primeira-liga,2007
União de Leiria,Rafael FavaRafael Fava,24,Goalkeeper,CA Juventus,?,in,NA,primeira-liga,2007
União de Leiria,André MarquesA. Marques,20,Left-Back,Sporting CP,Loan,in,0,primeira-liga,2007
União de Leiria,MarcelinhoMarcelinho,29,Centre-Forward,Cabofriense,Loan,in,0,primeira-liga,2007
União de Leiria,Ousseni ZongoO. Zongo,22,Defensive Midfield,Msida SJ,?,in,NA,primeira-liga,2007
União de Leiria,PatrickPatrick,26,Left-Back,Guarani,?,in,NA,primeira-liga,2007
União de Leiria,HarisonHarison,27,Right Winger,Goiás EC,"End of loanDec 1, 2007",in,0,primeira-liga,2007
União de Leiria,FerreiraFerreira,28,Centre-Forward,Náutico,"End of loanDec 31, 2007",in,0,primeira-liga,2007
União de Leiria,FerreiraFerreira,28,Centre-Forward,Ipatinga FC,"End of loanJun 30, 2007",in,0,primeira-liga,2007
União de Leiria,Marco AirosaM. Airosa,22,Right-Back,Olhanense,"End of loanJun 30, 2007",in,0,primeira-liga,2007
União de Leiria,Hadson NeryHadson Nery,25,Left-Back,Gondomar,"End of loanJun 30, 2007",in,0,primeira-liga,2007
União de Leiria,Filipe FalardoF. Falardo,23,Attacking Midfield,Olivais,"End of loanJun 30, 2007",in,0,primeira-liga,2007
União de Leiria,Pedro MoreiraP. Moreira,24,Centre-Forward,Louletano,"End of loanJun 30, 2007",in,0,primeira-liga,2007
União de Leiria,Nélson SousaN. Sousa,23,Right-Back,Estoril,"End of loanJun 30, 2007",in,0,primeira-liga,2007
União de Leiria,João PauloJoão Paulo,27,Centre-Forward,Rapid Bucharest,£1.08m,out,1.08,primeira-liga,2007
União de Leiria,ValdomiroValdomiro,27,Centre-Back,Trofense,Free Transfer,out,0,primeira-liga,2007
União de Leiria,Hadson NeryHadson Nery,25,Left-Back,Paysandu,Free Transfer,out,0,primeira-liga,2007
União de Leiria,Filipe FalardoF. Falardo,23,Attacking Midfield,Fátima,Loan,out,0,primeira-liga,2007
União de Leiria,FerreiraFerreira,29,Centre-Forward,Ulsan,Free Transfer,out,0,primeira-liga,2007
União de Leiria,Paulo GomesPaulo Gomes,32,Defensive Midfield,Paços Ferreira,Free Transfer,out,0,primeira-liga,2007
União de Leiria,Filipe MachadoF. Machado,23,Centre-Back,CSKA Sofia,Free Transfer,out,0,primeira-liga,2007
União de Leiria,KataKata,29,Defensive Midfield,Vizela,Free Transfer,out,0,primeira-liga,2007
União de Leiria,Marco AirosaM. Airosa,22,Right-Back,Fátima,Free Transfer,out,0,primeira-liga,2007
União de Leiria,Marco SoaresM. Soares,23,Central Midfield,Pandurii T.-Jiu,Loan,out,0,primeira-liga,2007
União de Leiria,FerreiraFerreira,28,Centre-Forward,Náutico,Loan,out,0,primeira-liga,2007
União de Leiria,Ousseni ZongoO. Zongo,23,Defensive Midfield,Gil Vicente,Loan,out,0,primeira-liga,2007
União de Leiria,Pedro MoreiraP. Moreira,24,Centre-Forward,Fátima,Loan,out,0,primeira-liga,2007
União de Leiria,HarisonHarison,27,Right Winger,Goiás EC,Loan,out,0,primeira-liga,2007
União de Leiria,MarcelinhoMarcelinho,29,Centre-Forward,Cabofriense,"End of loanApr 1, 2008",out,0,primeira-liga,2007
União de Leiria,André MarquesA. Marques,20,Left-Back,Sporting CP,"End of loanDec 1, 2007",out,0,primeira-liga,2007
União de Leiria,Alioune TouréA. Touré,28,Right Winger,Without Club,-,out,0,primeira-liga,2007
União de Leiria,RenatoRenato,34,Centre-Back,Without Club,-,out,0,primeira-liga,2007
União de Leiria,MacielMaciel,29,Right Winger,Without Club,-,out,0,primeira-liga,2007
União de Leiria,Paulo MachadoP. Machado,21,Central Midfield,FC Porto,"End of loanJun 1, 2007",out,0,primeira-liga,2007
União de Leiria,Fabiano RossatoFabiano Rossato,29,Left-Back,Real Sociedad,"End of loanJun 30, 2007",out,0,primeira-liga,2007
União de Leiria,Bartosz SlusarskiB. Slusarski,25,Centre-Forward,Grodzisk,"End of loanJun 30, 2007",out,0,primeira-liga,2007
União de Leiria,Bruno ValeB. Vale,24,Goalkeeper,FC Porto,"End of loanJun 30, 2007",out,0,primeira-liga,2007
União de Leiria,IvanildoIvanildo,21,Right Winger,FC Porto,"End of loanJun 30, 2007",out,0,primeira-liga,2007
União de Leiria,Marcos AntónioMarcos António,24,Centre-Back,Gil Vicente,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CD Nacional,João CoimbraJ. Coimbra,21,Attacking Midfield,Benfica,Loan,in,0,primeira-liga,2007
CD Nacional,Juninho ArcanjoJuninho Arcanjo,24,Attacking Midfield,Atlético-MG,Free Transfer,in,0,primeira-liga,2007
CD Nacional,João MoreiraJ. Moreira,21,Centre-Forward,Valencia CF,Loan,in,0,primeira-liga,2007
CD Nacional,Edson SittaE. Sitta,24,Defensive Midfield,Corinthians,Free Transfer,in,0,primeira-liga,2007
CD Nacional,Felipe LopesFelipe Lopes,19,Centre-Back,RSC Anderlecht,Free Transfer,in,0,primeira-liga,2007
CD Nacional,Marcelo LipatínM. Lipatín,30,Centre-Forward,Marítimo,Free Transfer,in,0,primeira-liga,2007
CD Nacional,Rafik HallicheR. Halliche,21,Centre-Back,Benfica,Loan,in,0,primeira-liga,2007
CD Nacional,Fellype GabrielFellype Gabriel,21,Attacking Midfield,Flamengo,Loan,in,0,primeira-liga,2007
CD Nacional,Fábio CoentrãoF. Coentrão,19,Left-Back,Benfica,Loan,in,0,primeira-liga,2007
CD Nacional,Fabiano OliveiraF. Oliveira,20,Centre-Forward,Flamengo,Loan,in,0,primeira-liga,2007
CD Nacional,ReinaldoReinaldo,23,Attacking Midfield,Palmeiras,Loan,in,0,primeira-liga,2007
CD Nacional,Edu SalesEdu Sales,29,Centre-Forward,US Créteil,?,in,NA,primeira-liga,2007
CD Nacional,Pedro PitaP. Pita,19,Left Midfield,Nacional U19,-,in,0,primeira-liga,2007
CD Nacional,Igor PitaIgor Pita,18,Left-Back,Nacional U19,-,in,0,primeira-liga,2007
CD Nacional,ViniciusVinicius,21,Central Midfield,União Madeira,"End of loanJun 30, 2007",in,0,primeira-liga,2007
CD Nacional,Miguel FidalgoM. Fidalgo,25,Centre-Forward,AEK Larnaca,"End of loanJun 30, 2007",in,0,primeira-liga,2007
CD Nacional,Luís ManuelLuís Manuel,26,Defensive Midfield,Vizela,"End of loanJun 30, 2007",in,0,primeira-liga,2007
CD Nacional,Diego BenaglioD. Benaglio,24,Goalkeeper,VfL Wolfsburg,£1.35m,out,1.35,primeira-liga,2007
CD Nacional,ÁvalosÁvalos,29,Centre-Back,MSV Duisburg,£180k,out,0.18,primeira-liga,2007
CD Nacional,Zé VítorZé Vítor,25,Right Midfield,FC St. Gallen,£90k,out,0.09,primeira-liga,2007
CD Nacional,Edu SalesEdu Sales,30,Centre-Forward,Figueirense FC,Free Transfer,out,0,primeira-liga,2007
CD Nacional,GeuferGeufer,27,Centre-Forward,Villa Nova AC,Free Transfer,out,0,primeira-liga,2007
CD Nacional,Émerson NunesÉmerson Nunes,25,Centre-Back,Cruzeiro,Free Transfer,out,0,primeira-liga,2007
CD Nacional,Luciano FonsecaLuciano Fonseca,28,Right Winger,S.E.R. Caxias do Sul (RS),Free Transfer,out,0,primeira-liga,2007
CD Nacional,CássioCássio,24,Centre-Forward,CSKA Sofia,Loan,out,0,primeira-liga,2007
CD Nacional,Zé RuiZé Rui,24,Left Winger,CSKA Sofia,Free Transfer,out,0,primeira-liga,2007
CD Nacional,ChaínhoChaínho,33,Defensive Midfield,Alki Larnaca,Free Transfer,out,0,primeira-liga,2007
CD Nacional,Bruno FernandesB. Fernandes,33,Central Midfield,Marítimo,Free Transfer,out,0,primeira-liga,2007
CD Nacional,Adilson Soares CassamaA. Soares Cassama,24,Defensive Midfield,Real SC,Free Transfer,out,0,primeira-liga,2007
CD Nacional,RogerinhoRogerinho,27,Forward,Camacha,Free Transfer,out,0,primeira-liga,2007
CD Nacional,Georgi ChilikovG. Chilikov,28,Centre-Forward,CSKA Sofia,£45k,out,0.045,primeira-liga,2007
CD Nacional,Luís ManuelLuís Manuel,26,Defensive Midfield,Gil Vicente,?,out,NA,primeira-liga,2007
CD Nacional,Miguel FidalgoM. Fidalgo,25,Centre-Forward,União Madeira,Loan,out,0,primeira-liga,2007
CD Nacional,Bruno BastoBruno Basto,29,Left-Back,Shinnik,?,out,NA,primeira-liga,2007
CD Nacional,ViniciusVinicius,21,Central Midfield,União Madeira,?,out,NA,primeira-liga,2007
CD Nacional,João MoreiraJ. Moreira,21,Centre-Forward,Valencia CF,"End of loanDec 1, 2007",out,0,primeira-liga,2007
CD Nacional,Leandro BonfimLeandro Bonfim,23,Attacking Midfield,FC Porto,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CD Nacional,Diego ClementinoD. Clementino,23,Centre-Forward,Cruzeiro,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CF Estrela Amadora,CardosoCardoso,22,Centre-Back,Comercial-SP,£135k,in,0.135,primeira-liga,2007
CF Estrela Amadora,Rui PedroRui Pedro,19,Attacking Midfield,FC Porto,Loan,in,0,primeira-liga,2007
CF Estrela Amadora,Jeremiah AniJ. Ani,22,Centre-Forward,Kercem Ajax FC,Free Transfer,in,0,primeira-liga,2007
CF Estrela Amadora,Vítor MorenoV. Moreno,26,Right-Back,Vit. Guimarães,Free Transfer,in,0,primeira-liga,2007
CF Estrela Amadora,FernandoFernando,20,Defensive Midfield,FC Porto,Loan,in,0,primeira-liga,2007
CF Estrela Amadora,MaurícioMaurício,30,Centre-Back,Pohang Steelers,Free Transfer,in,0,primeira-liga,2007
CF Estrela Amadora,Fábio NunesFábio Nunes,27,Attacking Midfield,Avaí FC,Free Transfer,in,0,primeira-liga,2007
CF Estrela Amadora,Hélder CabralHélder Cabral,23,Left-Back,Vit. Guimarães,Free Transfer,in,0,primeira-liga,2007
CF Estrela Amadora,WagnãoWagnão,28,Centre-Back,Rio Claro FC,Free Transfer,in,0,primeira-liga,2007
CF Estrela Amadora,Pedro PereiraPedro Pereira,23,Right Winger,Braga,?,in,NA,primeira-liga,2007
CF Estrela Amadora,Marcelo GoianiraMarcelo Goianira,26,Defensive Midfield,Anápolis-GO,?,in,NA,primeira-liga,2007
CF Estrela Amadora,CelestinoCelestino,20,Defensive Midfield,Sporting CP,Loan,in,0,primeira-liga,2007
CF Estrela Amadora,Mateus BorgesMateus Borges,24,Attacking Midfield,Anápolis-GO,Loan,in,0,primeira-liga,2007
CF Estrela Amadora,GiancarloGiancarlo,25,Centre-Forward,Náutico,Loan,in,0,primeira-liga,2007
CF Estrela Amadora,MendonçaMendonça,25,Right Midfield,Belenenses,Loan,in,0,primeira-liga,2007
CF Estrela Amadora,Luis AguiarL. Aguiar,21,Central Midfield,FC Porto,Loan,in,0,primeira-liga,2007
CF Estrela Amadora,MossoróMossoró,22,Centre-Forward,Friburguense-RJ,?,in,NA,primeira-liga,2007
CF Estrela Amadora,NélsonNélson,31,Goalkeeper,Without Club,-,in,0,primeira-liga,2007
CF Estrela Amadora,Adul BaldéA. Baldé,18,Centre-Forward,E. Amadora U19,-,in,0,primeira-liga,2007
CF Estrela Amadora,Marcelo ResendeM. Resende,20,Attacking Midfield,Olivais,"End of loanDec 1, 2007",in,0,primeira-liga,2007
CF Estrela Amadora,Tiago RosaT. Rosa,21,Right-Back,Torreense,"End of loanJun 30, 2007",in,0,primeira-liga,2007
CF Estrela Amadora,Carlos SaavedraC. Saavedra,26,Defensive Midfield,Trofense,"End of loanJun 1, 2007",in,0,primeira-liga,2007
CF Estrela Amadora,Filipe MendesF. Mendes,22,Goalkeeper,GD Tourizense,"End of loanJun 30, 2007",in,0,primeira-liga,2007
CF Estrela Amadora,Bruno SantosBruno Santos,19,Attacking Midfield,Real SC,"End of loanJun 30, 2007",in,0,primeira-liga,2007
CF Estrela Amadora,CardosoCardoso,23,Centre-Back,Pandurii T.-Jiu,£315k,out,0.315,primeira-liga,2007
CF Estrela Amadora,JohnnyJohnny,28,Right Winger,Pandurii T.-Jiu,£153k,out,0.153,primeira-liga,2007
CF Estrela Amadora,DanielDaniel,27,Defensive Midfield,Pandurii T.-Jiu,£117k,out,0.117,primeira-liga,2007
CF Estrela Amadora,Moses SakyiM. Sakyi,26,Centre-Forward,AEL Limassol,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,JonesJones,23,Centre-Forward,Guanabara,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,DárioDário,30,Centre-Forward,Nea Salamis,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,Tiago RosaT. Rosa,21,Right-Back,Atlético CP,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,Fábio NunesFábio Nunes,27,Attacking Midfield,Pandurii T.-Jiu,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,Rui BorgesR. Borges,33,Right Winger,Trofense,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,ZamoranoZamorano,25,Right-Back,Trofense,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,Jeremiah AniJ. Ani,22,Centre-Forward,Gondomar,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,MossoróMossoró,22,Centre-Forward,Democrata,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,Carlos SaavedraC. Saavedra,26,Defensive Midfield,Odivelas,Free Transfer,out,0,primeira-liga,2007
CF Estrela Amadora,Marcelo ResendeM. Resende,20,Attacking Midfield,Sintrense,Loan,out,0,primeira-liga,2007
CF Estrela Amadora,Paulo LopesP. Lopes,29,Goalkeeper,Trofense,?,out,NA,primeira-liga,2007
CF Estrela Amadora,Marcelo ResendeM. Resende,20,Attacking Midfield,Olivais,Loan,out,0,primeira-liga,2007
CF Estrela Amadora,Bruno SantosBruno Santos,19,Attacking Midfield,GD Tourizense,?,out,NA,primeira-liga,2007
CF Estrela Amadora,Sérgio MarquêsS. Marquês,30,Defensive Midfield,Atlético CP,?,out,NA,primeira-liga,2007
CF Estrela Amadora,Pedro SimõesPedro Simões,32,Midfielder,Without Club,-,out,0,primeira-liga,2007
CF Estrela Amadora,Luis AguiarL. Aguiar,22,Central Midfield,FC Porto,"End of loanDec 31, 2007",out,0,primeira-liga,2007
CF Estrela Amadora,JordãoJordão,35,Defensive Midfield,Retired,-,out,0,primeira-liga,2007
CF Estrela Amadora,JaimeJaime,28,Attacking Midfield,Braga,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CF Estrela Amadora,Tiago GomesT. Gomes,20,Left-Back,Benfica,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CF Estrela Amadora,AmoreirinhaAmoreirinha,22,Centre-Back,Benfica,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CF Estrela Amadora,Luís LoureiroL. Loureiro,30,Defensive Midfield,Sporting CP,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CF Estrela Amadora,CleitonCleiton,27,Attacking Midfield,Anápolis-GO,"End of loanJun 30, 2007",out,0,primeira-liga,2007
CF Estrela Amadora,José FonteJ. Fonte,23,Centre-Back,Benfica,"End of loanJun 30, 2007",out,0,primeira-liga,2007
Boavista Porto FC,Sambégou BangouraS. Bangoura,25,Centre-Forward,Stoke City,£365k,in,0.365,primeira-liga,2007
Boavista Porto FC,Rafal GrzelakR. Grzelak,25,Attacking Midfield,Pogon Szczecin,£315k,in,0.315,primeira-liga,2007
Boavista Porto FC,Luís LoureiroL. Loureiro,31,Defensive Midfield,Anorthosis,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,Rodrigo Araújo Gomes CostaR. Gomes Costa,19,Centre-Back,EC Vitória B,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,EdgarEdgar,29,Right Winger,Málaga CF,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,David FleurivalD. Fleurival,23,Central Midfield,Tours FC,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,MarcelãoMarcelão,26,Centre-Back,Vila Nova FC,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,Olufemi Oluyi OladapoO. Oladapo,18,Defensive Midfield,RSC Anderlecht,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,MateusMateus,23,Left Winger,Gil Vicente,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,RissuttRissutt,30,Right-Back,Vit. Guimarães,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,Jorge RibeiroJ. Ribeiro,25,Left-Back,Desportivo Aves,Free Transfer,in,0,primeira-liga,2007
Boavista Porto FC,Moisés MouraMoisés Moura,28,Centre-Back,Cruzeiro,Loan,in,0,primeira-liga,2007
Boavista Porto FC,LaionelLaionel,21,Right Winger,Anápolis-GO,Loan,in,0,primeira-liga,2007
Boavista Porto FC,Brayan AnguloB. Angulo,18,Left-Back,CD América,?,in,NA,primeira-liga,2007
Boavista Porto FC,Ikechukwu ObiI. Obi,22,Forward,Sabah,?,in,NA,primeira-liga,2007
Boavista Porto FC,Milos BosancicM. Bosancic,19,Attacking Midfield,Partizan,Loan,in,0,primeira-liga,2007
Boavista Porto FC,Zé KalangaZé Kalanga,23,Right Winger,Dinamo Bukarest,Loan,in,0,primeira-liga,2007
Boavista Porto FC,Hussein YasserHussein Yasser,25,Attacking Midfield,Braga,?,in,NA,primeira-liga,2007
Boavista Porto FC,Mourtala DiakitéM. Diakité,26,Centre-Back,Beira-Mar,?,in,NA,primeira-liga,2007
Boavista Porto FC,Ivan SantosI. Santos,18,Left Winger,Boavista U19,-,in,0,primeira-liga,2007
Boavista Porto FC,Ricardo NevesRicardo Neves,18,Goalkeeper,Boavista U19,-,in,0,primeira-liga,2007
Boavista Porto FC,Milan GajicM. Gajic,20,Central Midfield,Napredak,Loan,in,0,primeira-liga,2007
Boavista Porto FC,CarlosCarlos,27,Goalkeeper,Without Club,-,in,0,primeira-liga,2007
Boavista Porto FC,Pedro MoreiraP. Moreira,18,Central Midfield,Boavista U19,-,in,0,primeira-liga,2007
Boavista Porto FC,Pedro TrigueiraP. Trigueira,19,Goalkeeper,Boavista U19,-,in,0,primeira-liga,2007
Boavista Porto FC,Igor RochaIgor Rocha,23,Left-Back,GD Ribeirão,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Boavista Porto FC,Rui GomesRui Gomes,20,Attacking Midfield,Dragões,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Boavista Porto FC,Jaouad ZairiJ. Zairi,25,Right Midfield,FC Nantes,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Boavista Porto FC,Bruno PinheiroB. Pinheiro,19,Defensive Midfield,GD Ribeirão,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Boavista Porto FC,GilbertoGilberto,20,Central Midfield,Penalva Castelo,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Boavista Porto FC,Paulo RangelPaulo Rangel,22,Centre-Forward,AD Lousada,"End of loanJun 30, 2007",in,0,primeira-liga,2007
Boavista Porto FC,Roland LinzR. Linz,26,Centre-Forward,Braga,£1.80m,out,1.8,primeira-liga,2007
Boavista Porto FC,Kalifa CisséK. Cissé,23,Defensive Midfield,Reading,£1.35m,out,1.35,primeira-liga,2007
Boavista Porto FC,Ricardo SilvaR. Silva,32,Centre-Back,Shinnik,£270k,out,0.27,primeira-liga,2007
Boavista Porto FC,Rafal GrzelakR. Grzelak,25,Attacking Midfield,Skoda Xanthi,£225k,out,0.225,primeira-liga,2007
Boavista Porto FC,João LucasJoão Lucas,27,Attacking Midfield,Red Star,£49k,out,0.049,primeira-liga,2007
Boavista Porto FC,Marcos AntónioMarcos António,27,Centre-Forward,Trofense,Loan,out,0,primeira-liga,2007
Boavista Porto FC,Paulo RangelPaulo Rangel,22,Centre-Forward,Baraúnas-RN,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,WilliamWilliam,39,Goalkeeper,Feirense,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Nuno PintoN. Pinto,20,Left-Back,Trofense,Loan,out,0,primeira-liga,2007
Boavista Porto FC,Fernando DinisF. Dinis,24,Left-Back,Trofense,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Paulo SousaPaulo Sousa,26,Defensive Midfield,Trofense,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,MarquinhosMarquinhos,24,Right-Back,Vasco da Gama,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,LivramentoLivramento,25,Attacking Midfield,Leixões,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Guy Stephane EssaméG. Essamé,23,Central Midfield,Terek Grozny,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Jaouad ZairiJ. Zairi,25,Right Midfield,Asteras Tripoli,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,BessaBessa,30,Right-Back,Trofense,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Hélder RosárioH. Rosário,27,Centre-Back,Málaga CF,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Krzysztof KazimierczakK. Kazimierczak,26,Left-Back,Pol. Warsaw,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Sambégou BangouraS. Bangoura,25,Centre-Forward,Cádiz CF,Loan,out,0,primeira-liga,2007
Boavista Porto FC,Zé ManuelZé Manuel,32,Right Winger,Braga,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,TiagoTiago,32,Defensive Midfield,Leiria,Free Transfer,out,0,primeira-liga,2007
Boavista Porto FC,Pedro TrigueiraP. Trigueira,19,Goalkeeper,GD Ribeirão,Loan,out,0,primeira-liga,2007
Boavista Porto FC,Igor RochaIgor Rocha,23,Left-Back,Naval,?,out,NA,primeira-liga,2007
Boavista Porto FC,CarlosCarlos,28,Goalkeeper,Foolad,Loan,out,0,primeira-liga,2007
Boavista Porto FC,Javier LiendoJ. Liendo,19,Central Midfield,Nacional,?,out,NA,primeira-liga,2007
