club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
AS Monaco,Philippe Léonard,30,Left-Back,Standard Liège,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Uliano Courville,25,midfield,FC Mantois,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Sébastien Carole,21,Right Winger,LB Châteauroux,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Marco Ramos,21,Left-Back,US Créteil-L,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Nicolas Hislen,21,Defensive Midfield,FC Lorient,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Laurent Mohellebi,20,midfield,FC Istres,?,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,José-Karl Pierre-Fanfan,28,Centre-Back,Paris SG,?,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Sébastien Grax,20,Centre-Forward,Troyes,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Éric Cubilier,24,Right-Back,Lens,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Djibril Sidibé,22,Defensive Midfield,SC Bastia,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Laurent Lanteri,19,Right Winger,LB Châteauroux,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Fernando Morientes,28,Centre-Forward,Real Madrid,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Hugo Ibarra,30,Right-Back,FC Porto,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Édouard Cissé,26,Defensive Midfield,Paris SG,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,Luigi Pieroni,23,Centre-Forward,Exc. Mouscron,£1.13m,in,Summer,1.13,Ligue 1,2004,2004/2005
AJ Auxerre,Rene Bolf,30,Centre-Back,Banik Ostrava,£900Th.,in,Summer,0.9,Ligue 1,2004,2004/2005
AJ Auxerre,Michaël Ciani,20,Centre-Back,RSC Charleroi,£675Th.,in,Summer,0.675,Ligue 1,2004,2004/2005
AJ Auxerre,Yannick Boumsong,20,Defensive Midfield,Clyde FC,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Benoît Cheyrou,23,Defensive Midfield,LOSC Lille,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Abou Diaby,18,Central Midfield,AJ Auxerre B,-,in,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,Younès Kaboul,18,Centre-Back,AJ Auxerre B,-,in,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,Bacary Sagna,21,Right-Back,AJ Auxerre B,-,in,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,Pierre Vignaud,21,Left-Back,AJ Auxerre B,-,in,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,Mickael Castejon,19,Goalkeeper,AJ Auxerre B,-,in,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,David Vandenbossche,23,Attacking Midfield,LB Châteauroux,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,Hélder Esteves,26,Centre-Forward,Troyes,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AJ Auxerre,Djibril Cissé,22,Centre-Forward,Liverpool,£18.00m,out,Summer,18,Ligue 1,2004,2004/2005
AJ Auxerre,Philippe Mexès,22,Centre-Back,AS Roma,£6.30m,out,Summer,6.3,Ligue 1,2004,2004/2005
AJ Auxerre,Pantxi Sirieix,23,Central Midfield,Toulouse,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Olivier Kapo,23,Attacking Midfield,Juventus,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Rafik Djebbour,20,Centre-Forward,La Louviere,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Jean-Alain Boumsong,24,Centre-Back,Rangers,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Jean-Joël Perrier-Doumbé,25,Right-Back,Stade Rennais,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Pierre Deblock,31,Right Midfield,Stade Lavallois,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Hélder Esteves,27,Centre-Forward,Dijon,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AJ Auxerre,Romain Poyet,23,Centre-Forward,Clermont FA,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Ilan,23,Centre-Forward,Atlético-PR,£2.70m,in,Summer,2.7,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Romain Pitau,26,Defensive Midfield,OGC Nice,£1.26m,in,Summer,1.26,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Lionel Potillon,30,Left-Back,Paris SG,£900Th.,in,Summer,0.9,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Jérémy Ménez,17,Right Winger,FC Sochaux U19,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Thomas Régnier,20,Centre-Forward,FC Sochaux B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Jean Calvé,20,Right-Back,FC Sochaux B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Fabien Lavoyer,18,Centre-Back,FC Sochaux B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Maxime Josse,17,Centre-Back,FC Sochaux B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Basile de Carvalho,22,Centre-Forward,CS Sedan,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Kamel Chafni,22,Attacking Midfield,Besançon RC,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Pierre-Alain Frau,24,Centre-Forward,Olympique Lyon,£7.65m,out,Summer,7.65,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Benoît Pedretti,23,Defensive Midfield,Marseille,£4.50m,out,Summer,4.5,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Mickaël Pagis,30,Second Striker,R. Strasbourg,£450Th.,out,Summer,0.45,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Philippe Raschke,36,Right-Back,Cannes,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Kamel Chafni,22,Attacking Midfield,LB Châteauroux,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Virgile Boumelaha,20,Centre-Back,Stuttgart II,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,William Quevedo,33,Left-Back,FC Sète 34,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Adel Chedli,27,Central Midfield,FC Istres,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Benoît Haaby,22,Centre-Back,GFCO Ajaccio,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Sochaux-Montbéliard,Maxence Flachez,32,Centre-Back,Guingamp,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,Florin Bratu,24,Centre-Forward,Galatasaray,£2.70m,in,Summer,2.7,Ligue 1,2004,2004/2005
FC Nantes,Julio Cáceres,24,Centre-Back,Olimpia,£2.70m,in,Summer,2.7,Ligue 1,2004,2004/2005
FC Nantes,Gilles Yapi,22,Defensive Midfield,KSK Beveren,£1.35m,in,Summer,1.35,Ligue 1,2004,2004/2005
FC Nantes,Aurélien Capoue,22,Left Winger,SO Romorantin,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,Alexander Viveros,26,Left-Back,Boavista,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,Mamadou Bagayoko,25,Centre-Forward,AC Ajaccio,?,in,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,David Leray,20,Right-Back,FC Nantes B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Denis Stinat,20,Left-Back,FC Nantes B,-,in,Summer,0,Ligue 1,2004,2004/2005
