club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Feyenoord Rotterdam,Gábor Babos,29,Goalkeeper,NAC Breda,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Mark Otten,18,Centre-Back,NEC Nijmegen,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Maikel Aerts,28,Goalkeeper,RBC Roosendaal,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Bruno Basto,26,Left-Back,G. Bordeaux,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Alex Brosque,20,Attacking Midfield,Marc. Stallions,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Romeo Castelen,21,Right Winger,ADO Den Haag,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Pascal Bosschaart,24,Centre-Back,FC Utrecht,?,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Edwin de Graaf,24,Central Midfield,RBC Roosendaal,?,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Santi Kolk,22,Right Winger,Heerenveen,?,in,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Sigourney Bandjar,19,Right-Back,Feyenoord U21,-,in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Gianni Zuiverloon,17,Centre-Back,Feyenoord U19,-,in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Wouter Artz,19,Left-Back,Feyenoord U19,-,in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Steve Olfers,22,Centre-Back,RKC Waalwijk,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Zbigniew Malkowski,26,Goalkeeper,Excelsior,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Glenn Loovens,20,Centre-Back,Excelsior,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Leonardo,27,Right-Back,ADO Den Haag,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Glenn Loovens,21,Centre-Back,De Graafschap,"End of loanMay 1, 2005",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Johan Elmander,23,Centre-Forward,NAC Breda,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Jordan Opoku,21,Central Midfield,Excelsior,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Salomon Kalou,18,Left Winger,Excelsior,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Robin van Persie,20,Centre-Forward,Arsenal,£4.05m,out,Summer,4.05,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Johan Elmander,23,Centre-Forward,Bröndby IF,£450Th.,out,Summer,0.45,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Peter van den Berg,32,Centre-Back,Vitesse,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Edwin Zoetebier,34,Goalkeeper,PSV Eindhoven,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Mariano Bombarda,31,Centre-Forward,CD Tenerife,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Mark Otten,18,Centre-Back,Excelsior,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Alex Brosque,20,Attacking Midfield,KVC Westerlo,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Anthony Lurling,27,Attacking Midfield,NAC Breda,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Jean Carlos,20,Left-Back,Hamburger SV,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Jorge Acuña,25,Defensive Midfield,CDUC,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Ferne Snoyl,19,Left-Back,FC Den Bosch,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Gérard de Nooijer,35,Centre-Back,FC Dordrecht,?,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Steve Olfers,22,Centre-Back,Excelsior,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Alfred Schreuder,31,Defensive Midfield,RKC Waalwijk,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Maikel Aerts,28,Goalkeeper,RBC Roosendaal,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Gill Swerts,21,Right-Back,ADO Den Haag,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Jordan Opoku,21,Central Midfield,Royal Antwerp,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Santi Kolk,22,Right Winger,Excelsior,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Pieter Collen,24,Centre-Back,NAC Breda,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Kees van Wonderen,35,Centre-Back,Retired,-,out,Summer,0,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Leonardo,27,Right-Back,Without Club,-,out,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Klaas-Jan Huntelaar,20,Centre-Forward,PSV Eindhoven,£810Th.,in,Summer,0.81,Eredivisie,2004,2004/2005
SC Heerenveen,Arnold Bruggink,26,Attacking Midfield,RCD Mallorca,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Sven Taberima,18,Goalkeeper,Ajax U19,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Yuri Rose,25,Attacking Midfield,Heracles Almelo,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Tomasz Rzasa,31,Left-Back,Partizan,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,André Hanssen,23,Defensive Midfield,Bodø/Glimt,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Ugur Yildirim,22,Right Winger,Go Ahead Eagles,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Denis Calincov,18,Left Winger,RSC Anderlecht,loan transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Michel Breuer,24,Centre-Back,Excelsior,?,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Romano Denneboom,23,Right Winger,Willem II,?,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Youssouf Hersi,21,Right Winger,Ajax,?,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Brian Vandenbussche,22,Goalkeeper,Sparta R.,?,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Victor Sikora,26,Right Winger,Ajax,loan transfer,in,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Jeroen Drost,17,Left-Back,Heerenveen U19,-,in,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Jerrel Wolfgang,19,Centre-Back,Heerenveen U19,-,in,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Joey van den Berg,18,Defensive Midfield,Heerenveen U19,-,in,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Santi Kolk,22,Right Winger,FC Den Bosch,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Arjan Ebbinge,29,Centre-Back,NEC Nijmegen,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Mark-Jan Fledderus,21,Left-Back,Stormv. Telstar,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Erik Edman,25,Left-Back,Spurs,£1.80m,out,Summer,1.8,Eredivisie,2004,2004/2005
SC Heerenveen,Gerald Sibon,30,Centre-Forward,PSV Eindhoven,£675Th.,out,Summer,0.675,Eredivisie,2004,2004/2005
SC Heerenveen,Hans Vonk,34,Goalkeeper,Ajax,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Romano Denneboom,23,Right Winger,NEC Nijmegen,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Marc van Eijk,22,Right Winger,Doxa Dramas,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Tieme Klompe,28,Centre-Back,RKC Waalwijk,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Mark-Jan Fledderus,21,Left-Back,FC Groningen,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Jacob de Vries,24,Goalkeeper,Flevo Boys,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Ronny Venema,29,Right-Back,Cambuur L.,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Maceo Rigters,20,Centre-Forward,FC Dordrecht,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,René van der Weij,21,Centre-Forward,Cambuur L.,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Jesper Haakansson,22,Attacking Midfield,RBC Roosendaal,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Arjan Ebbinge,29,Centre-Back,NEC Nijmegen,?,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Santi Kolk,22,Right Winger,Feyenoord,?,out,Summer,NA,Eredivisie,2004,2004/2005
SC Heerenveen,Johan Hansma,35,Centre-Back,Retired,-,out,Summer,0,Eredivisie,2004,2004/2005
SC Heerenveen,Richard Knopper,26,Attacking Midfield,Ajax,"End of loanJun 30, 2004",out,Summer,0,Eredivisie,2004,2004/2005
AZ Alkmaar,Tarik Sektioui,27,Right Winger,Willem II,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Joris Mathijsen,24,Centre-Back,Willem II,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Kew Jaliens,25,Centre-Back,Willem II,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Adil Ramzi,27,Left Midfield,PSV Eindhoven,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Ron Vlaar,19,Centre-Back,AZ Alkmaar U19,-,in,Summer,0,Eredivisie,2004,2004/2005
AZ Alkmaar,Beau Molenaar,19,Goalkeeper,AZ Alkmaar U21,-,in,Summer,0,Eredivisie,2004,2004/2005
AZ Alkmaar,Jamal Dibi,24,Attacking Midfield,Stormv. Telstar,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
AZ Alkmaar,Peter Wijker,32,Centre-Back,FC Volendam,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Hans van der Woude,24,Attacking Midfield,Hollandia,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Alair Cruz Vicente,23,Left-Back,FC Volendam,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Jamal Dibi,24,Attacking Midfield,Haarlem,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
AZ Alkmaar,Canigia,25,Left Winger,ADO '20,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Boldizsár Bodor,22,Left-Back,Germ. Beerschot,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Guido Budziak,21,Goalkeeper,TOP Oss,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,László Bodnár,25,Right-Back,Dynamo Kyiv,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Sekou Cissé,19,Centre-Forward,JMG Abidjan,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Pascal Müller,19,Defensive Midfield,Roda JC U19,-,in,Summer,0,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Faton Popova,19,Central Midfield,Roda JC U21,-,in,Summer,0,Eredivisie,2004,2004/2005
