club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
SL Benfica,Miguel Rosa,23,Attacking Midfield,Benfica B,-,out,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Lionel Carole,21,Left-Back,Benfica B,-,out,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Élvis,21,Attacking Midfield,Benfica B,-,out,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,José Shaffer,27,Left-Back,Without Club,-,out,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Fábio Faria,23,Centre-Back,Benfica B,-,out,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Mika,21,Goalkeeper,Benfica B,-,out,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Luís Martins,20,Left-Back,Benfica B,-,out,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Jan Oblak,19,Goalkeeper,Rio Ave FC,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Eduardo,29,Goalkeeper,Genoa,"End of loanJun 30, 2012",out,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Beto,30,Goalkeeper,FC Porto,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Éder,20,Centre-Forward,Coimbra,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Maximilian Haas,26,Centre-Back,Leiria,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Michel,26,Centre-Forward,Benfica,loan transfer,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Ismaily,22,Left-Back,Olhanense,?,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Carlao,25,Centre-Forward,Kashima Antlers,?,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Rúben Micael,25,Central Midfield,Atlético Madrid,loan transfer,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Manoel,23,Centre-Forward,Anápolis-GO,loan transfer,in,Summer,NA,Liga Nos,2012,2012/2013
